PSWQ,Anxious,Previous,Scored
18,21,56,1
17,32,35,1
16,34,35,1
14,40,15,1
5,24,47,1
1,15,67,1
4,10,75,1
12,19,53,1
11,29,35,1
15,14,65,1
23,5,85,1
11,6,86,1
14,34,23,1
22,27,46,1
12,26,46,1
5,16,67,1
6,14,67,1
4,5,84,1
7,10,74,1
8,13,64,1
12,19,55,1
14,26,46,1
13,27,43,1
1,29,35,1
7,30,35,1
10,31,33,1
15,26,45,1
16,28,35,1
18,10,74,1
17,8,76,1
14,12,75,1
20,24,44,1
18,23,47,1
2,16,65,1
6,14,66,1
4,19,55,1
4,18,56,1
2,17,64,1
4,20,53,1
1,23,47,1
20,26,45,0
25,29,35,0
16,21,55,0
18,34,24,0
17,38,15,0
29,39,15,0
24,46,4,0
25,49,0,0
22,47,0,0
26,42,5,0
23,41,16,0
25,40,18,0
28,35,24,0
18,36,23,0
17,31,34,0
14,35,24,0
15,42,16,0
11,20,56,0
10,24,42,0
15,19,56,0
14,18,56,0
16,34,24,0
17,35,24,0
25,36,26,0
24,32,33,0
17,35,24,0
27,39,16,0
28,38,15,0
27,41,14,0
25,42,14,0
26,45,8,0
22,48,0,0
28,49,0,0
28,46,4,0
24,26,45,0
